anime_id,Name,Genres,prediction
1,Cowboy Bebop,"Action, Award Winning, Sci-Fi",1
Spike Spiegel and Jet Black pursue criminals throughout space to make a humble living. Beneath his goofy and aloof demeanor,Spike is haunted by the weight of his violent past. Meanwhile,and Ein,0
While developing bonds and working to catch a colorful cast of criminals,the Bebop crew's lives are disrupted by a menace from Spike's past. As a rival's maniacal plot continues to unravel,"Apr 3, 1998 to Apr 24, 1999",0
5,Cowboy Bebop: Tengoku no Tobira,"Action, Sci-Fi",1
With lives at stake and a solution to their money problems in sight,the Bebop crew springs into action. Spike,followed closely by Ein,0
6,Trigun,"Action, Adventure, Sci-Fi",1
With his crazy doughnut obsession and buffoonish attitude in tow,Vash traverses the wasteland of the planet Gunsmoke,"their misadventures evolve into life-or-death situations as a group of legendary assassins are summoned to bring about suffering to the trio. Vash's agonizing past will be unraveled and his morality and principles pushed to the breaking point.\"",0
7,Witch Hunter Robin,"Action, Drama, Mystery, Supernatural",1
"(Source: Funimation)\"",TV,Finished Airing,0
8,Bouken Ou Beet,"Adventure, Fantasy, Supernatural",1
15,Eyeshield 21,Sports,1
As Hiruma wants to conceal Sena's identity from other clubs,"Sena is forced to hide under the visored helmet of \"\"Eyeshield 21",,0
Accustomed to avoiding his problems in the past,Sena's specialty might just help him become the new secret weapon of the Deimon Devil Bats. As he interacts with his teammates,"Apr 6, 2005 to Mar 19, 2008",0
16,Hachimitsu to Clover,"Comedy, Drama, Romance",0
Takemoto had not given much thought to his future until one fine spring day,when he meets the endearing Hagumi Hanamoto and falls in love at first sight. Incredibly gifted in the arts,,0
Hachimitsu to Clover is a heartwarming tale of youth,love,TV,0
17,Hungry Heart: Wild Striker,"Comedy, Slice of Life, Sports",1
Entering his freshman year at Jouyou Akanegaoka High School,Kyousuke vows never to play soccer again. However,the manager of the boys' team,0
With an opportunity to play soccer again,Kyousuke must either remain steadfast in his decision to abandon the sport he once loved,"Sep 11, 2002 to Sep 10, 2003",0
18,Initial D Fourth Stage,"Action, Drama",0
"The fourth season of Initial D details the hardships and successes of the members of Project D as they try to become the best street racing team outside of Gunma Prefecture.\"",TV,Finished Airing,0
19,Monster,"Drama, Mystery, Suspense",1
